Date;Material;Plant;Requested_Volume
09.05.2015;B120;E580;0
10.05.2015;B120;E580;0
11.05.2015;B120;E580;442
12.05.2015;B120;E580;708
13.05.2015;B120;E580;809
14.05.2015;B120;E580;1946
15.05.2015;B120;E580;697
16.05.2015;B120;E580;0
17.05.2015;B120;E580;362
18.05.2015;B120;E580;653
19.05.2015;B120;E580;2391
20.05.2015;B120;E580;1044
21.05.2015;B120;E580;647
22.05.2015;B120;E580;784
23.05.2015;B120;E580;36
24.05.2015;B120;E580;0
25.05.2015;B120;E580;0
26.05.2015;B120;E580;460
27.05.2015;B120;E580;523
28.05.2015;B120;E580;1997
29.05.2015;B120;E580;1381
30.05.2015;B120;E580;0
31.05.2015;B120;E580;0
01.06.2015;B120;E580;260
02.06.2015;B120;E580;1140
03.06.2015;B120;E580;727
04.06.2015;B120;E580;5609
05.06.2015;B120;E580;458
06.06.2015;B120;E580;0
07.06.2015;B120;E580;0
08.06.2015;B120;E580;1657
09.06.2015;B120;E580;595
10.06.2015;B120;E580;1430
11.06.2015;B120;E580;512
12.06.2015;B120;E580;1491
13.06.2015;B120;E580;0
14.06.2015;B120;E580;20
15.06.2015;B120;E580;515
16.06.2015;B120;E580;670
17.06.2015;B120;E580;1095
18.06.2015;B120;E580;2964
19.06.2015;B120;E580;1092
20.06.2015;B120;E580;60
21.06.2015;B120;E580;0
22.06.2015;B120;E580;541
23.06.2015;B120;E580;2533
24.06.2015;B120;E580;671
25.06.2015;B120;E580;1708
26.06.2015;B120;E580;6749
27.06.2015;B120;E580;0
28.06.2015;B120;E580;0
29.06.2015;B120;E580;1030
30.06.2015;B120;E580;668
01.07.2015;B120;E580;1085
02.07.2015;B120;E580;1641
03.07.2015;B120;E580;0
04.07.2015;B120;E580;0
05.07.2015;B120;E580;0
06.07.2015;B120;E580;488
07.07.2015;B120;E580;391
08.07.2015;B120;E580;609
09.07.2015;B120;E580;1612
10.07.2015;B120;E580;1210
11.07.2015;B120;E580;0
12.07.2015;B120;E580;0
13.07.2015;B120;E580;2777
14.07.2015;B120;E580;585
15.07.2015;B120;E580;936
16.07.2015;B120;E580;1633
17.07.2015;B120;E580;567
18.07.2015;B120;E580;0
19.07.2015;B120;E580;0
20.07.2015;B120;E580;779
21.07.2015;B120;E580;382
22.07.2015;B120;E580;478
23.07.2015;B120;E580;844
24.07.2015;B120;E580;733
25.07.2015;B120;E580;0
26.07.2015;B120;E580;0
27.07.2015;B120;E580;1197
28.07.2015;B120;E580;3071
29.07.2015;B120;E580;1025
30.07.2015;B120;E580;8971
31.07.2015;B120;E580;1616
01.08.2015;B120;E580;0
02.08.2015;B120;E580;0
03.08.2015;B120;E580;1108
04.08.2015;B120;E580;344
05.08.2015;B120;E580;784
06.08.2015;B120;E580;1447
07.08.2015;B120;E580;561
08.08.2015;B120;E580;0
09.08.2015;B120;E580;9
10.08.2015;B120;E580;597
11.08.2015;B120;E580;563
12.08.2015;B120;E580;976
13.08.2015;B120;E580;1775
14.08.2015;B120;E580;762
15.08.2015;B120;E580;0
16.08.2015;B120;E580;5
17.08.2015;B120;E580;651
18.08.2015;B120;E580;3341
19.08.2015;B120;E580;741
20.08.2015;B120;E580;734
21.08.2015;B120;E580;235
22.08.2015;B120;E580;0
23.08.2015;B120;E580;0
24.08.2015;B120;E580;639
25.08.2015;B120;E580;2098
26.08.2015;B120;E580;1477
27.08.2015;B120;E580;2520
28.08.2015;B120;E580;1777
29.08.2015;B120;E580;0
30.08.2015;B120;E580;30
31.08.2015;B120;E580;319
01.09.2015;B120;E580;764
02.09.2015;B120;E580;769
03.09.2015;B120;E580;4809
04.09.2015;B120;E580;432
05.09.2015;B120;E580;0
06.09.2015;B120;E580;20
07.09.2015;B120;E580;0
08.09.2015;B120;E580;584
09.09.2015;B120;E580;808
10.09.2015;B120;E580;702
11.09.2015;B120;E580;254
12.09.2015;B120;E580;0
13.09.2015;B120;E580;0
14.09.2015;B120;E580;350
15.09.2015;B120;E580;517
16.09.2015;B120;E580;582
17.09.2015;B120;E580;575
18.09.2015;B120;E580;1675
19.09.2015;B120;E580;0
20.09.2015;B120;E580;0
21.09.2015;B120;E580;650
22.09.2015;B120;E580;1238
23.09.2015;B120;E580;848
24.09.2015;B120;E580;2228
25.09.2015;B120;E580;2258
26.09.2015;B120;E580;30
27.09.2015;B120;E580;0
28.09.2015;B120;E580;8476
29.09.2015;B120;E580;293
30.09.2015;B120;E580;2079
01.10.2015;B120;E580;1876
02.10.2015;B120;E580;333
03.10.2015;B120;E580;0
04.10.2015;B120;E580;5
05.10.2015;B120;E580;435
06.10.2015;B120;E580;304
07.10.2015;B120;E580;564
08.10.2015;B120;E580;1684
09.10.2015;B120;E580;196
10.10.2015;B120;E580;0
11.10.2015;B120;E580;0
12.10.2015;B120;E580;841
13.10.2015;B120;E580;502
14.10.2015;B120;E580;484
15.10.2015;B120;E580;2045
16.10.2015;B120;E580;661
17.10.2015;B120;E580;0
18.10.2015;B120;E580;0
19.10.2015;B120;E580;2489
20.10.2015;B120;E580;901
21.10.2015;B120;E580;729
22.10.2015;B120;E580;1062
23.10.2015;B120;E580;942
24.10.2015;B120;E580;0
25.10.2015;B120;E580;0
26.10.2015;B120;E580;798
27.10.2015;B120;E580;3031
28.10.2015;B120;E580;1256
29.10.2015;B120;E580;2072
30.10.2015;B120;E580;605
31.10.2015;B120;E580;8000
01.11.2015;B120;E580;8
02.11.2015;B120;E580;1704
03.11.2015;B120;E580;540
04.11.2015;B120;E580;335
05.11.2015;B120;E580;540
06.11.2015;B120;E580;406
07.11.2015;B120;E580;0
08.11.2015;B120;E580;0
09.11.2015;B120;E580;803
10.11.2015;B120;E580;301
11.11.2015;B120;E580;1082
12.11.2015;B120;E580;1437
13.11.2015;B120;E580;711
14.11.2015;B120;E580;0
15.11.2015;B120;E580;0
16.11.2015;B120;E580;795
17.11.2015;B120;E580;168
18.11.2015;B120;E580;424
19.11.2015;B120;E580;8436
20.11.2015;B120;E580;322
21.11.2015;B120;E580;0
22.11.2015;B120;E580;0
23.11.2015;B120;E580;1184
24.11.2015;B120;E580;759
25.11.2015;B120;E580;774
26.11.2015;B120;E580;0
27.11.2015;B120;E580;0
28.11.2015;B120;E580;0
29.11.2015;B120;E580;0
30.11.2015;B120;E580;1417
01.12.2015;B120;E580;490
02.12.2015;B120;E580;621
03.12.2015;B120;E580;3737
04.12.2015;B120;E580;210
05.12.2015;B120;E580;0
06.12.2015;B120;E580;0
07.12.2015;B120;E580;3047
08.12.2015;B120;E580;207
09.12.2015;B120;E580;604
10.12.2015;B120;E580;1061
11.12.2015;B120;E580;1578
12.12.2015;B120;E580;0
13.12.2015;B120;E580;0
14.12.2015;B120;E580;442
15.12.2015;B120;E580;1040
16.12.2015;B120;E580;834
17.12.2015;B120;E580;615
18.12.2015;B120;E580;1107
19.12.2015;B120;E580;0
20.12.2015;B120;E580;0
21.12.2015;B120;E580;1106
22.12.2015;B120;E580;4715
23.12.2015;B120;E580;705
24.12.2015;B120;E580;0
25.12.2015;B120;E580;0
26.12.2015;B120;E580;0
27.12.2015;B120;E580;0
28.12.2015;B120;E580;1059
29.12.2015;B120;E580;574
30.12.2015;B120;E580;574
31.12.2015;B120;E580;0
01.01.2016;B120;E580;0
02.01.2016;B120;E580;0
03.01.2016;B120;E580;0
04.01.2016;B120;E580;3027
05.01.2016;B120;E580;1735
06.01.2016;B120;E580;803
07.01.2016;B120;E580;1377
08.01.2016;B120;E580;454
09.01.2016;B120;E580;0
10.01.2016;B120;E580;0
11.01.2016;B120;E580;883
12.01.2016;B120;E580;375
13.01.2016;B120;E580;765
14.01.2016;B120;E580;1833
15.01.2016;B120;E580;994
16.01.2016;B120;E580;0
17.01.2016;B120;E580;10
18.01.2016;B120;E580;676
19.01.2016;B120;E580;419
20.01.2016;B120;E580;505
21.01.2016;B120;E580;945
22.01.2016;B120;E580;5483
23.01.2016;B120;E580;0
24.01.2016;B120;E580;0
25.01.2016;B120;E580;3465
26.01.2016;B120;E580;566
27.01.2016;B120;E580;596
28.01.2016;B120;E580;1486
29.01.2016;B120;E580;415
30.01.2016;B120;E580;0
31.01.2016;B120;E580;0
01.02.2016;B120;E580;747
02.02.2016;B120;E580;233
03.02.2016;B120;E580;794
04.02.2016;B120;E580;1849
05.02.2016;B120;E580;420
06.02.2016;B120;E580;0
07.02.2016;B120;E580;0
08.02.2016;B120;E580;3366
09.02.2016;B120;E580;790
10.02.2016;B120;E580;545
11.02.2016;B120;E580;3402
12.02.2016;B120;E580;235
13.02.2016;B120;E580;0
14.02.2016;B120;E580;10
15.02.2016;B120;E580;3017
16.02.2016;B120;E580;424
17.02.2016;B120;E580;727
18.02.2016;B120;E580;502
19.02.2016;B120;E580;727
20.02.2016;B120;E580;0
21.02.2016;B120;E580;0
22.02.2016;B120;E580;1264
23.02.2016;B120;E580;286
24.02.2016;B120;E580;506
25.02.2016;B120;E580;1869
26.02.2016;B120;E580;967
27.02.2016;B120;E580;0
28.02.2016;B120;E580;0
29.02.2016;B120;E580;1936
01.03.2016;B120;E580;18510
02.03.2016;B120;E580;1477
03.03.2016;B120;E580;1195
04.03.2016;B120;E580;301
05.03.2016;B120;E580;0
06.03.2016;B120;E580;0
07.03.2016;B120;E580;396
08.03.2016;B120;E580;468
09.03.2016;B120;E580;1416
10.03.2016;B120;E580;2112
11.03.2016;B120;E580;5313
12.03.2016;B120;E580;0
13.03.2016;B120;E580;0
14.03.2016;B120;E580;1208
15.03.2016;B120;E580;309
16.03.2016;B120;E580;1120
17.03.2016;B120;E580;2297
18.03.2016;B120;E580;1070
19.03.2016;B120;E580;0
20.03.2016;B120;E580;0
21.03.2016;B120;E580;377
22.03.2016;B120;E580;535
23.03.2016;B120;E580;949
24.03.2016;B120;E580;1630
25.03.2016;B120;E580;660
26.03.2016;B120;E580;0
27.03.2016;B120;E580;0
28.03.2016;B120;E580;716
29.03.2016;B120;E580;482
30.03.2016;B120;E580;640
31.03.2016;B120;E580;796
01.04.2016;B120;E580;3280
02.04.2016;B120;E580;0
03.04.2016;B120;E580;0
04.04.2016;B120;E580;1745
05.04.2016;B120;E580;917
06.04.2016;B120;E580;1427
07.04.2016;B120;E580;1521
08.04.2016;B120;E580;146
09.04.2016;B120;E580;0
10.04.2016;B120;E580;190
11.04.2016;B120;E580;456
12.04.2016;B120;E580;703
13.04.2016;B120;E580;1312
14.04.2016;B120;E580;1284
15.04.2016;B120;E580;782
16.04.2016;B120;E580;0
17.04.2016;B120;E580;46
18.04.2016;B120;E580;1098
19.04.2016;B120;E580;487
20.04.2016;B120;E580;2996
21.04.2016;B120;E580;3182
22.04.2016;B120;E580;359
23.04.2016;B120;E580;0
24.04.2016;B120;E580;12
25.04.2016;B120;E580;583
26.04.2016;B120;E580;787
27.04.2016;B120;E580;569
28.04.2016;B120;E580;2862
29.04.2016;B120;E580;352
30.04.2016;B120;E580;0
01.05.2016;B120;E580;0
02.05.2016;B120;E580;7762
03.05.2016;B120;E580;1214
04.05.2016;B120;E580;1098
05.05.2016;B120;E580;1338
06.05.2016;B120;E580;676
07.05.2016;B120;E580;0
08.05.2016;B120;E580;0
09.05.2016;B120;E580;1045
10.05.2016;B120;E580;370
11.05.2016;B120;E580;772
12.05.2016;B120;E580;1523
13.05.2016;B120;E580;491
14.05.2016;B120;E580;0
15.05.2016;B120;E580;0
16.05.2016;B120;E580;1590
17.05.2016;B120;E580;520
18.05.2016;B120;E580;680
19.05.2016;B120;E580;3855
20.05.2016;B120;E580;0
21.05.2016;B120;E580;0
22.05.2016;B120;E580;0
23.05.2016;B120;E580;0
24.05.2016;B120;E580;634
25.05.2016;B120;E580;3749
26.05.2016;B120;E580;3574
27.05.2016;B120;E580;727
28.05.2016;B120;E580;15
29.05.2016;B120;E580;0
30.05.2016;B120;E580;0
31.05.2016;B120;E580;1679
01.06.2016;B120;E580;535
02.06.2016;B120;E580;822
03.06.2016;B120;E580;577
04.06.2016;B120;E580;0
05.06.2016;B120;E580;0
06.06.2016;B120;E580;908
07.06.2016;B120;E580;803
08.06.2016;B120;E580;611
09.06.2016;B120;E580;1014
10.06.2016;B120;E580;272
11.06.2016;B120;E580;0
12.06.2016;B120;E580;0
13.06.2016;B120;E580;1719
14.06.2016;B120;E580;919
15.06.2016;B120;E580;1656
16.06.2016;B120;E580;1529
17.06.2016;B120;E580;3018
18.06.2016;B120;E580;0
19.06.2016;B120;E580;0
20.06.2016;B120;E580;343
21.06.2016;B120;E580;1575
22.06.2016;B120;E580;1491
23.06.2016;B120;E580;364
24.06.2016;B120;E580;491
25.06.2016;B120;E580;0
26.06.2016;B120;E580;0
27.06.2016;B120;E580;1823
28.06.2016;B120;E580;648
29.06.2016;B120;E580;759
30.06.2016;B120;E580;1420
01.07.2016;B120;E580;614
02.07.2016;B120;E580;0
03.07.2016;B120;E580;0
04.07.2016;B120;E580;1
05.07.2016;B120;E580;791
06.07.2016;B120;E580;439
07.07.2016;B120;E580;2046
08.07.2016;B120;E580;5475
09.07.2016;B120;E580;90
10.07.2016;B120;E580;60
11.07.2016;B120;E580;1702
12.07.2016;B120;E580;515
13.07.2016;B120;E580;811
14.07.2016;B120;E580;923
15.07.2016;B120;E580;944
16.07.2016;B120;E580;0
17.07.2016;B120;E580;0
18.07.2016;B120;E580;1433
19.07.2016;B120;E580;341
20.07.2016;B120;E580;1487
21.07.2016;B120;E580;1875
22.07.2016;B120;E580;670
23.07.2016;B120;E580;50
24.07.2016;B120;E580;0
25.07.2016;B120;E580;718
26.07.2016;B120;E580;159
27.07.2016;B120;E580;542
28.07.2016;B120;E580;854
29.07.2016;B120;E580;384
30.07.2016;B120;E580;0
31.07.2016;B120;E580;0
01.08.2016;B120;E580;1357
02.08.2016;B120;E580;283
03.08.2016;B120;E580;728
04.08.2016;B120;E580;1454
05.08.2016;B120;E580;979
06.08.2016;B120;E580;0
07.08.2016;B120;E580;0
08.08.2016;B120;E580;1534
09.08.2016;B120;E580;418
10.08.2016;B120;E580;617
11.08.2016;B120;E580;1046
12.08.2016;B120;E580;502
13.08.2016;B120;E580;0
14.08.2016;B120;E580;0
15.08.2016;B120;E580;316
16.08.2016;B120;E580;551
17.08.2016;B120;E580;483
18.08.2016;B120;E580;281
19.08.2016;B120;E580;853
20.08.2016;B120;E580;0
21.08.2016;B120;E580;0
22.08.2016;B120;E580;19633
23.08.2016;B120;E580;2198
24.08.2016;B120;E580;363
25.08.2016;B120;E580;491
26.08.2016;B120;E580;362
27.08.2016;B120;E580;0
28.08.2016;B120;E580;0
29.08.2016;B120;E580;1927
30.08.2016;B120;E580;686
31.08.2016;B120;E580;695
01.09.2016;B120;E580;3149
02.09.2016;B120;E580;985
03.09.2016;B120;E580;0
04.09.2016;B120;E580;0
05.09.2016;B120;E580;0
06.09.2016;B120;E580;861
07.09.2016;B120;E580;583
08.09.2016;B120;E580;1685
09.09.2016;B120;E580;398
10.09.2016;B120;E580;0
11.09.2016;B120;E580;0
12.09.2016;B120;E580;894
13.09.2016;B120;E580;422
14.09.2016;B120;E580;8938
15.09.2016;B120;E580;1426
16.09.2016;B120;E580;483
17.09.2016;B120;E580;0
18.09.2016;B120;E580;42
19.09.2016;B120;E580;1014
20.09.2016;B120;E580;398
21.09.2016;B120;E580;508
22.09.2016;B120;E580;3069
23.09.2016;B120;E580;1098
24.09.2016;B120;E580;0
25.09.2016;B120;E580;0
26.09.2016;B120;E580;3893
27.09.2016;B120;E580;284
28.09.2016;B120;E580;584
29.09.2016;B120;E580;2162
30.09.2016;B120;E580;3085
01.10.2016;B120;E580;0
02.10.2016;B120;E580;0
03.10.2016;B120;E580;2556
04.10.2016;B120;E580;1200
05.10.2016;B120;E580;722
06.10.2016;B120;E580;1398
07.10.2016;B120;E580;14530
08.10.2016;B120;E580;0
09.10.2016;B120;E580;0
10.10.2016;B120;E580;227
11.10.2016;B120;E580;320
12.10.2016;B120;E580;946
13.10.2016;B120;E580;3723
14.10.2016;B120;E580;1113
15.10.2016;B120;E580;0
16.10.2016;B120;E580;0
17.10.2016;B120;E580;1624
18.10.2016;B120;E580;1639
19.10.2016;B120;E580;869
20.10.2016;B120;E580;3488
21.10.2016;B120;E580;738
22.10.2016;B120;E580;0
23.10.2016;B120;E580;0
24.10.2016;B120;E580;669
25.10.2016;B120;E580;360
26.10.2016;B120;E580;505
27.10.2016;B120;E580;1652
28.10.2016;B120;E580;374
29.10.2016;B120;E580;0
30.10.2016;B120;E580;24
31.10.2016;B120;E580;1263
01.11.2016;B120;E580;672
02.11.2016;B120;E580;926
03.11.2016;B120;E580;3438
04.11.2016;B120;E580;795
05.11.2016;B120;E580;0
06.11.2016;B120;E580;0
07.11.2016;B120;E580;854
08.11.2016;B120;E580;264
09.11.2016;B120;E580;511
10.11.2016;B120;E580;1483
11.11.2016;B120;E580;1479
12.11.2016;B120;E580;0
13.11.2016;B120;E580;0
14.11.2016;B120;E580;606
15.11.2016;B120;E580;796
16.11.2016;B120;E580;1171
17.11.2016;B120;E580;3826
18.11.2016;B120;E580;336
19.11.2016;B120;E580;0
20.11.2016;B120;E580;0
21.11.2016;B120;E580;1967
22.11.2016;B120;E580;620
23.11.2016;B120;E580;683
24.11.2016;B120;E580;6
25.11.2016;B120;E580;0
26.11.2016;B120;E580;0
27.11.2016;B120;E580;0
28.11.2016;B120;E580;1540
29.11.2016;B120;E580;789
30.11.2016;B120;E580;3377
01.12.2016;B120;E580;1726
02.12.2016;B120;E580;780
03.12.2016;B120;E580;0
04.12.2016;B120;E580;0
05.12.2016;B120;E580;1179
06.12.2016;B120;E580;1151
07.12.2016;B120;E580;1078
08.12.2016;B120;E580;2628
09.12.2016;B120;E580;265
10.12.2016;B120;E580;0
11.12.2016;B120;E580;0
12.12.2016;B120;E580;1481
13.12.2016;B120;E580;550
14.12.2016;B120;E580;415
15.12.2016;B120;E580;3933
16.12.2016;B120;E580;695
17.12.2016;B120;E580;0
18.12.2016;B120;E580;0
19.12.2016;B120;E580;708
20.12.2016;B120;E580;1623
21.12.2016;B120;E580;1552
22.12.2016;B120;E580;281
23.12.2016;B120;E580;449
24.12.2016;B120;E580;0
25.12.2016;B120;E580;0
26.12.2016;B120;E580;0
27.12.2016;B120;E580;108
28.12.2016;B120;E580;845
29.12.2016;B120;E580;1597
30.12.2016;B120;E580;1
31.12.2016;B120;E580;0
01.01.2017;B120;E580;0
02.01.2017;B120;E580;0
03.01.2017;B120;E580;1759
04.01.2017;B120;E580;8700
05.01.2017;B120;E580;1001
06.01.2017;B120;E580;340
07.01.2017;B120;E580;0
08.01.2017;B120;E580;0
09.01.2017;B120;E580;356
10.01.2017;B120;E580;296
11.01.2017;B120;E580;752
12.01.2017;B120;E580;2011
13.01.2017;B120;E580;872
14.01.2017;B120;E580;0
15.01.2017;B120;E580;0
16.01.2017;B120;E580;861
17.01.2017;B120;E580;754
18.01.2017;B120;E580;280
19.01.2017;B120;E580;766
20.01.2017;B120;E580;1754
21.01.2017;B120;E580;0
22.01.2017;B120;E580;0
23.01.2017;B120;E580;292
24.01.2017;B120;E580;778
25.01.2017;B120;E580;1091
26.01.2017;B120;E580;328
27.01.2017;B120;E580;127
28.01.2017;B120;E580;0
29.01.2017;B120;E580;0
30.01.2017;B120;E580;2692
31.01.2017;B120;E580;382
01.02.2017;B120;E580;1003
02.02.2017;B120;E580;1602
03.02.2017;B120;E580;658
04.02.2017;B120;E580;0
05.02.2017;B120;E580;6
06.02.2017;B120;E580;2463
07.02.2017;B120;E580;466
08.02.2017;B120;E580;868
09.02.2017;B120;E580;2118
10.02.2017;B120;E580;393
11.02.2017;B120;E580;0
12.02.2017;B120;E580;0
13.02.2017;B120;E580;2062
14.02.2017;B120;E580;2805
15.02.2017;B120;E580;758
16.02.2017;B120;E580;1590
17.02.2017;B120;E580;530
18.02.2017;B120;E580;0
19.02.2017;B120;E580;0
20.02.2017;B120;E580;1006
21.02.2017;B120;E580;67
22.02.2017;B120;E580;17
23.02.2017;B120;E580;414
24.02.2017;B120;E580;1120
25.02.2017;B120;E580;0
26.02.2017;B120;E580;0
27.02.2017;B120;E580;3906
28.02.2017;B120;E580;435
01.03.2017;B120;E580;915
02.03.2017;B120;E580;3797
03.03.2017;B120;E580;394
04.03.2017;B120;E580;0
05.03.2017;B120;E580;0
06.03.2017;B120;E580;1029
07.03.2017;B120;E580;447
08.03.2017;B120;E580;1124
09.03.2017;B120;E580;370
10.03.2017;B120;E580;375
11.03.2017;B120;E580;0
12.03.2017;B120;E580;0
13.03.2017;B120;E580;1997
14.03.2017;B120;E580;270
15.03.2017;B120;E580;354
16.03.2017;B120;E580;2718
17.03.2017;B120;E580;577
18.03.2017;B120;E580;0
19.03.2017;B120;E580;0
20.03.2017;B120;E580;3489
21.03.2017;B120;E580;648
22.03.2017;B120;E580;703
23.03.2017;B120;E580;757
24.03.2017;B120;E580;434
25.03.2017;B120;E580;0
26.03.2017;B120;E580;0
27.03.2017;B120;E580;1403
28.03.2017;B120;E580;335
29.03.2017;B120;E580;856
30.03.2017;B120;E580;796
31.03.2017;B120;E580;313
01.04.2017;B120;E580;0
02.04.2017;B120;E580;0
03.04.2017;B120;E580;6232
04.04.2017;B120;E580;383
05.04.2017;B120;E580;1321
06.04.2017;B120;E580;832
07.04.2017;B120;E580;1196
08.04.2017;B120;E580;0
09.04.2017;B120;E580;0
10.04.2017;B120;E580;949
11.04.2017;B120;E580;270
12.04.2017;B120;E580;799
13.04.2017;B120;E580;2851
14.04.2017;B120;E580;498
15.04.2017;B120;E580;0
16.04.2017;B120;E580;0
17.04.2017;B120;E580;615
18.04.2017;B120;E580;235
19.04.2017;B120;E580;490
20.04.2017;B120;E580;752
21.04.2017;B120;E580;452
22.04.2017;B120;E580;0
23.04.2017;B120;E580;0
24.04.2017;B120;E580;1356
25.04.2017;B120;E580;956
26.04.2017;B120;E580;638
27.04.2017;B120;E580;544
28.04.2017;B120;E580;527
29.04.2017;B120;E580;0
30.04.2017;B120;E580;0
01.05.2017;B120;E580;1436
02.05.2017;B120;E580;864
03.05.2017;B120;E580;311
04.05.2017;B120;E580;1960
05.05.2017;B120;E580;561
06.05.2017;B120;E580;35
07.05.2017;B120;E580;0
08.05.2017;B120;E580;836
09.05.2017;B120;E580;664
10.05.2017;B120;E580;605
11.05.2017;B120;E580;382
12.05.2017;B120;E580;438
13.05.2017;B120;E580;0
14.05.2017;B120;E580;0
15.05.2017;B120;E580;2258
16.05.2017;B120;E580;889
17.05.2017;B120;E580;356
18.05.2017;B120;E580;2805
19.05.2017;B120;E580;1644
20.05.2017;B120;E580;0
21.05.2017;B120;E580;0
22.05.2017;B120;E580;993
23.05.2017;B120;E580;2572
24.05.2017;B120;E580;3288
25.05.2017;B120;E580;1259
26.05.2017;B120;E580;745
27.05.2017;B120;E580;0
28.05.2017;B120;E580;0
29.05.2017;B120;E580;0
30.05.2017;B120;E580;1204
31.05.2017;B120;E580;511
01.06.2017;B120;E580;1352
02.06.2017;B120;E580;349
03.06.2017;B120;E580;0
04.06.2017;B120;E580;0
05.06.2017;B120;E580;1134
06.06.2017;B120;E580;696
07.06.2017;B120;E580;1103
08.06.2017;B120;E580;525
09.06.2017;B120;E580;754
10.06.2017;B120;E580;0
11.06.2017;B120;E580;0
12.06.2017;B120;E580;2365
13.06.2017;B120;E580;432
14.06.2017;B120;E580;640
15.06.2017;B120;E580;3900
16.06.2017;B120;E580;226
17.06.2017;B120;E580;0
18.06.2017;B120;E580;0
19.06.2017;B120;E580;1254
20.06.2017;B120;E580;667
21.06.2017;B120;E580;1248
22.06.2017;B120;E580;2826
23.06.2017;B120;E580;360
24.06.2017;B120;E580;0
25.06.2017;B120;E580;0
26.06.2017;B120;E580;359
27.06.2017;B120;E580;851
28.06.2017;B120;E580;874
29.06.2017;B120;E580;1381
30.06.2017;B120;E580;757
01.07.2017;B120;E580;0
02.07.2017;B120;E580;0
03.07.2017;B120;E580;698
04.07.2017;B120;E580;0
05.07.2017;B120;E580;889
